name,Male,Female,Intersex,Total
Mombasa,610257,598046,30.0,1208333
Changamwe,68761,63121,,131882
Jomvu,83002,80410,3.0,163415
Kisauni,146748,145176,6.0,291930
Likoni,126962,123392,4.0,250358
Mvita,75565,78601,5.0,154171
Nyali,109219,107346,12.0,216577
Kwale,425121,441681,18.0,866820
Kinango,45413,48806,1.0,94220
Lungalunga,97174,101245,4.0,198423
Matuga,95831,98419,2.0,194252
Ms am bweni,89206,88480,4.0,177690
Samburu-Kwale,97497,104731,7.0,202235
Kilifi,704089,749673,25.0,1453787
Chonyi,29527,32807,1.0,62335
Ganze    .,66921,76981,4.0,143906
Kaloleni.,92614,101063,5.0,193682
Kauma,10965,11673,,22638
Kilifi North,86986,91836,2.0,178824
Kilifi South,101852,104897,4.0,206753
Magarini,93302,98308,,191610
Malindi,163351,169866,9.0,333226
Rabai,58571,62242,,120813
Tana River,158550,157391,2.0,315943
Tana North,55716,54924,,110640
Tana Delta,59123,57632,2.0,116757
Tana River,43711,44835,,88546
Lamu,76103,67813,4.0,143920
Lamu East.,11675,10583,,22258
Lamu West.,64428,57230,4.0,121662
Taita/Taveta,173337,167327,7.0,340671
Mwatate,41426,40231,2.0,81659
Taita,28386,27573,,55959
Taveta,47410,43812,,91222
Voi,56115,55711,5.0,111831
Garissa,458975,382344,34.0,841353
Balambala,20277,11979,1.0,32257
Dadaab.,99059,86185,8.0,185252
Fafi,72617,61413,10.0,134040
Garissa,83460,80449,5.0,163914
Hulugho,78081,55898,5.0,133984
Ijara .,80458,61129,4.0,141591
Lagdera,25023,25291,1.0,50315
Wajir,415374,365840,49.0,781263
Buna,26796,23088,2.0,49886
Eldas,44743,43759,7.0,88509
Habaswein,94613,79505,16.0,174134
Tarbaj,27141,30086,5.0,57232
Wajir East,59359,51292,3.0,110654
Wajir North,31990,30209,7.0,62206
Wajir South,64947,51864,3.0,116814
Wajir West,65785,56037,6.0,121828
Mandera,434976,432444,37.0,867457
Mandera Wes t     .,48166,50130,4.0,98300
Banisa,78301,74288,9.0,152598
Kutulo,35799,36593,2.0,72394
Lafey,40476,42976,5.0,83457
Mandera Central,71688,85527,5.0,157220
Mandera Eas t,83538,76095,5.0,159638
Mandera North     .,77008,66835,7.0,143850
Marsabit,243548,216219,18.0,459785
Loiyangalani,17659,18051,3.0,35713
Mars abit Central,40956,38214,11.0,79181
Mars abit North     .,30091,24205,1.0,54297
Mars abit South     .,33215,32161,,65376
Moyale,56440,52508,1.0,108949
North Horr,41719,29726,2.0,71447
Sololo,23468,21354,,44822
Isiolo,139510,128483,9.0,268002
Garbatulla,54661,45068,1.0,99730
Is iolo,60414,60647,5.0,121066
Merti,24435,22768,3.0,47206
Meru,767698,777975,41.0,1545714
Buuri East,38101,38497,,76598
Buuri West,40496,40264,2.0,80762
Igem be Central,111208,110200,4.0,221412
Igem be North,83364,85949,4.0,169317
Igem be South,80192,81446,8.0,161646
Im enti North,88506,89056,5.0,177567
Im enti South,103338,103162,6.0,206506
Meru Central,66920,66894,4.0,133818
Tigania Central,51814,52916,,104730
Tigania East,35352,37194,3.0,72549
Tigania West,67715,72241,5.0,139961
Meru National Park*,283,102,,385
Mt. Kenya Fores t*,409,54,,463
Tharaka-Nithi,193764,199406,7.0,393177
Igam bang'om be,26464,26745,1.0,53210
Maara,57689,57205,,114894
Meru South,44923,46155,2.0,91080
Tharaka North     .,28290,30053,2.0,58345
Tharaka South     .,36190,39058,2.0,75250
Mt. Kenya Fores t*,208,190,,398
Embu,304208,304367,24.0,608599
Embu East,64571,64991,2.0,129564
Embu North,39665,39888,3.0,79556
Embu West,63125,63966,9.0,127100
Mbeere South,83311,80159,6.0,163476
Mbeere North,53517,55360,4.0,108881
Mt. Kenya Fores t*,19,3,,22
Kitui,549003,587151,33.0,1136187
Ikutha,39986,42976,2.0,82964
Katulani,23150,23957,1.0,47108
Kisasi,22646,23496,,46142
Kitui Central,52123,53863,5.0,105991
Kitui West,33887,36983,1.0,70871
Kyus o,36789,40077,1.0,76867
Lower Yatta,31701,31628,,63329
Matinyani,23362,24448,1.0,47811
Migwani,37525,41726,4.0,79255
Mum oni,13748,15596,,29344
Mutitu,26388,28896,3.0,55287
Mutitu North,10337,10877,1.0,21215
Mutom o,54819,58531,6.0,113356
Mwingi Central     .,52539,56174,,108713
Mwingi Eas t,40314,44820,5.0,85139
Nzam bani,22929,23857,2.0,46788
Thagicu,7141,7994,1.0,15136
Tseikuru,19619,21252,,40871
Machakos,710707,711191,34.0,1421932
Athi River,164322,158172,5.0,322499
Kalama,26764,27692,6.0,54462
Kangundo,48697,49219,1.0,97917
Kathiani,54910,56976,4.0,111890
Machakos,85486,85114,6.0,170606
Mas inga,73519,75001,2.0,148522
Matungulu,81145,80407,5.0,161557
Mwala,90427,91466,3.0,181896
Yatta,85437,87144,2.0,172583
Makueni,489691,497942,20.0,987653
Kathonzweni,39335,40442,3.0,79780
Kibwezi,98477,98517,6.0,197000
Kilungu,29019,31932,1.0,60952
Makindu,42204,42742,,84946
Makueni,65418,64955,2.0,130375
Mbooni Eas t,48152,49601,3.0,97756
Mbooni Wes t,49434,53159,1.0,102594
Mukaa,54481,53068,,107549
Nzaui,63171,63526,4.0,126701
Nyandarua,315022,323247,20.0,638289
Kinangop,54727,56679,4.0,111410
Nyandarua South,46157,47708,5.0,93870
Mirangine,33447,33766,1.0,67214
Kipipiri,46113,47740,2.0,93855
Nyandarua Central,37329,37931,2.0,75262
Nyandarua Wes t,48752,49209,4.0,97965
Nyandarua North,48486,50210,2.0,98698
Aberdare National Park*,11,4,,15
Nyeri,374288,384845,31.0,759164
