well_id,original_id,name,country,admin_1,admin_2,admin_3,admin_4,locality,latitude,longitude,elevation,yield,well_depth,operation_status,drilling_end_date,source_1,source_2,source_3,last_update,water_quality,ec,tds,salinity,chloride,fluoride
,11,Shabaha Borehole,Kenya,Turkana,,,,,4.261915,35.740766,,0.0,35.0,Abandoned (dry),,Acacia Water,,,,Fresh,,,,,
,21,Pokotom,Kenya,Turkana,,,,,3.730391,34.851166,,0.0,71.0,Under construction,,Acacia Water,,,,Fresh,,,,,
,628,Kanugurpus,Kenya,Turkana,,,,,3.114787,36.07728,,1.2,,Operational,,Acacia Water,,,,Fresh,,,,,
,629,Loreng,Kenya,Turkana,,,,,3.507642,34.592256,,0.0,,Temporarily non-operational,,Acacia Water,,,,Fresh,,,,,
,630,Mission,Kenya,Turkana,,,,,3.121804,35.962385,,1.8,,Operational,,Acacia Water,,,,Unknown,,,,,
,631,Nasiger,Kenya,Turkana,,,,,3.357292,35.420698,,0.0,,Operational,,Acacia Water,,,,Slightly saline (human ok),,,,,
,632,kakuruto,Kenya,Turkana,,,,,3.187546,35.846595,,0.8,,Operational,,Acacia Water,,,,Slightly saline (livestock ok),,,,,
,633,Akatuman,Kenya,Turkana,,,,,3.11321,36.106375,,0.0,,Temporarily non-operational,,Acacia Water,,,,Saline,,,,,
,634,Komudei,Kenya,Turkana,,,,,3.697164,34.92986,,1.8,,Under construction,,Acacia Water,,,,Fresh,,,,,
,635,Kenyaoil,Kenya,Turkana,,,,,3.227974,35.912969,,1.6,,Operational,,Acacia Water,,,,Fresh,,,,,
,636,Nameyana,Kenya,Turkana,,,,,3.501923,35.325527,,0.0,,Operational,,Acacia Water,,,,Fresh,,,,,
,637,Kalokol Water supply,Kenya,Turkana,,,,,3.521033,35.832229,,0.78,,Operational,,Acacia Water,,,,Fresh,,,,,
,638,St. Leo Secondary,Kenya,Turkana,,,,,3.67395,35.000747,,0.0,,Operational,,Acacia Water,,,,Fresh,,,,,
,639,Nabulicha,Kenya,Turkana,,,,,3.463052,35.383885,,1.3,,Operational,,Acacia Water,,,,Fresh,,,,,
,640,Nachacha 2,Kenya,Turkana,,,,,2.259005,35.853197,,0.6,,Operational,,Acacia Water,,,,Fresh,,,,,
,641,Nachacha windmill,Kenya,Turkana,,,,,3.162881,35.855382,,0.0,,Temporarily non-operational,,Acacia Water,,,,Fresh,,,,,
,642,Lolemu,Kenya,Turkana,,,,,3.565359,34.692467,,2.4,,Operational,,Acacia Water,,,,Fresh,,,,,
,643,Naoros,Kenya,Turkana,,,,,3.117706,36.04613,,0.9,,Operational,,Acacia Water,,,,Fresh,,,,,
,644,Lodwar water supply B/H 001,Kenya,Turkana,,,,,3.112831,35.598452,,12.0,,Operational,,Acacia Water,,,,Fresh,,,,,
,645,Kekunyuk 1,Kenya,Turkana,,,,,2.932138,35.617924,,0.0,,Non-operational,,Acacia Water,,,,Unknown,,,,,
,646,Napetet,Kenya,Turkana,,,,,3.129008,35.623963,,0.0,,Operational,,Acacia Water,,,,Fresh,,,,,
,647,Lokadwaran,Kenya,Turkana,,,,,2.984287,35.647073,,0.0,,Operational,,Acacia Water,,,,Saline,,,,,
,648,Lodwar Water Supply no. 4,Kenya,Turkana,,,,,3.113762,35.509488,,0.0,,Operational,,Acacia Water,,,,Fresh,,,,,
,649,Karoge,Kenya,Turkana,,,,,2.548008,35.640407,,1.02,,Operational,,Acacia Water,,,,Fresh,,,,,
,650,Nabulon No. 6,Kenya,Turkana,,,,,3.108162,35.593343,,0.0,,Under construction,,Acacia Water,,,,Fresh,,,,,
,651,Lorengippi,Kenya,Turkana,,,,,2.573004,34.988044,,0.0,,Non-operational,,Acacia Water,,,,Unknown,,,,,
,652,Lodwar Water Supply no. 2,Kenya,Turkana,,,,,3.110749,35.592693,,0.0,,Operational,,Acacia Water,,,,Fresh,,,,,
,653,Lodwar High,Kenya,Turkana,,,,,3.129508,35.605048,,0.0,,Operational,,Acacia Water,,,,Slightly saline (human ok),,,,,
,654,Napusmoru,Kenya,Turkana,,,,,2.666381,35.849689,,0.0,,Operational,,Acacia Water,,,,Saline,,,,,
,655,Lochwa catholic BH,Kenya,Turkana,,,,,2.609234,35.022193,,1.8,,Operational,,Acacia Water,,,,Fresh,,,,,
,656,Bh 5,Kenya,Turkana,,,,,3.111741,35.597254,,0.0,,Operational,,Acacia Water,,,,Fresh,,,,,
,657,Nabute,Kenya,Turkana,,,,,3.129153,35.605982,,1.2,,Operational,,Acacia Water,,,,Slightly saline (human ok),,,,,
,658,Lodwar Water Supply no.3,Kenya,Turkana,,,,,3.113332,35.600494,,0.0,,Operational,,Acacia Water,,,,Fresh,,,,,
,659,Ngimanman,Kenya,Turkana,,,,,3.886473,34.607852,,1.8,,Operational,,Acacia Water,,,,Fresh,,,,,
,660,Nalala,Kenya,Turkana,,,,,3.772078,34.614868,,0.6,,Operational,,Acacia Water,,,,Saline,,,,,
,661,UN-Compound BH2,Kenya,Turkana,,,,,4.206684,34.365154,,0.0,,Operational,,Acacia Water,,,,Fresh,,,,,
,662,Locherekingol BH1,Kenya,Turkana,,,,,3.81174,34.355449,,7.5,,Operational,,Acacia Water,,,,Fresh,,,,,
,663,Kosovo,Kenya,Turkana,,,,,4.209166,34.326233,,1.7,,Operational,,Acacia Water,,,,Fresh,,,,,
,664,Locher Ekingol BH2,Kenya,Turkana,,,,,3.812168,34.353658,,,,Operational,,Acacia Water,,,,Fresh,,,,,
,665,Lokumo,Kenya,Turkana,,,,,3.773026,34.620847,,0.0,,Non-operational,,Acacia Water,,,,Unknown,,,,,
,666,Karuknyang,Kenya,Turkana,,,,,3.816116,34.35633,,0.0,,Non-operational,,Acacia Water,,,,Fresh,,,,,
,667,Kalobakori,Kenya,Turkana,,,,,3.851498,34.556511,,1.64,,Operational,,Acacia Water,,,,Fresh,,,,,
,668,Nawotom,Kenya,Turkana,,,,,3.796906,34.568855,,0.0,,Temporarily non-operational,,Acacia Water,,,,Fresh,,,,,
,669,LocherEsekon,Kenya,Turkana,,,,,3.821973,34.594325,,0.0,,Temporarily non-operational,,Acacia Water,,,,Fresh,,,,,
,670,Oropoi parish,Kenya,Turkana,,,,,3.813516,34.359378,,64.0,,Operational,,Acacia Water,,,,Fresh,,,,,
,671,Adipo,Kenya,Turkana,,,,,3.52912,34.822894,,0.0,,Operational,,Acacia Water,,,,Slightly saline (human ok),,,,,
,672,Nakilekipus,Kenya,Turkana,,,,,3.755412,34.667483,,3.0,,Temporarily non-operational,,Acacia Water,,,,Fresh,,,,,
