well_id,original_id,name,country,admin_1,admin_2,admin_3,admin_4,locality,latitude,longitude,elevation,yield,well_depth,operation_status,drilling_end_date,source_1,source_2,source_3,last_update
,2014744422,,,,,,,,0.48109,35.99124,,,,open,,,,,11/14/2012
,2014856481,,,,,,,,0.46775,35.97982,,,,open,,,,,
,2014856482,,,,,,,,0.46778,35.97977,,,,open,,,,,11/13/2012
,2124840472,,,,,,,,-0.51154,35.98726,,,,,,,,,1/10/2013
,8235430841,,,,,,,,-1.29179,36.74832,,,,operational,,,,,
,8235430842,,,,,,,,-1.29225,36.74636,,,,operational,,,,,
,8235430843,,,,,,,,-1.29288,36.73464,,,,operational,,,,,
,8235430844,,,,,,,,-1.28427,36.73509,,,,non_operational,,,,,
,8235430845,,,,,,,,-1.28727,36.73599,,,,operational,,,,,
,8235430846,,,,,,,,-1.29357,36.737,,,,operational,,,,,
,8235430848,,,,,,,,-1.27762,36.7447,,,,operational,,,,,
,8235430852,,,,,,,,-1.27779,36.73632,,,,operational,,,,,
,8235430853,,,,,,,,-1.28116,36.74395,,,,operational,,,,,
,8235430854,,,,,,,,-1.28728,36.74821,,,,operational,,,,,
,8235430855,,,,,,,,-1.28732,36.74819,,,,operational,,,,,
,8235430856,,,,,,,,-1.28961,36.74895,,,,operational,,,,,
,8235430857,,,,,,,,-1.28845,36.75105,,,,operational,,,,,
,8235430858,,,,,,,,-1.28824,36.75033,,,,non_operational,,,,,
,8235430861,,,,,,,,-1.29045,36.74609,,,,operational,,,,,
,8235430862,,,,,,,,-1.28765,36.7488,,,,operational,,,,,
,8235430864,,,,,,,,-1.28649,36.74173,,,,operational,,,,,
,8235430865,,,,,,,,-1.28641,36.74167,,,,operational,,,,,
,8235430866,,,,,,,,-1.28646,36.74156,,,,operational,,,,,
,8235430870,,,,,,,,-1.28749,36.74621,,,,operational,,,,,
,8235430873,,,,,,,,-1.28746,36.74785,,,,operational,,,,,
,8235430875,,,,,,,,-1.29087,36.74654,,,,operational,,,,,
,8235430876,,,,,,,,-1.28177,36.74575,,,,operational,,,,,
,8235430877,,,,,,,Kabiro,-1.27828,36.75081,,,,operational,,,,,
,8235430881,,,,,,,Kabiro,-1.28689,36.75332,,,,operational,,,,,
,8235430882,,,,,,,Kabiro,-1.28255,36.75255,,,,operational,,,,,
,8235430883,,,,,,,,-1.28623,36.75146,,,,operational,,,,,
,8235430884,,,,,,,,-1.2848,36.74872,,,,non_operational,,,,,
,8235430887,,,,,,,,-1.28445,36.74626,,,,operational,,,,,
,8235430888,,,,,,,,-1.28443,36.74636,,,,operational,,,,,
,8235430889,,,,,,,,-1.2848,36.74872,,,,operational,,,,,
,8235430890,,,,,,,,-1.28402,36.74809,,,,operational,,,,,
,8235430891,,,,,,,,-1.28381,36.74679,,,,operational,,,,,
,8235430892,,,,,,,,-1.28444,36.74629,,,,operational,,,,,
,8235430893,,,,,,,,-1.28521,36.74574,,,,operational,,,,,
,8235430895,,,,,,,,-1.28685,36.74783,,,,operational,,,,,
,8235430897,,,,,,,,-1.28694,36.74745,,,,operational,,,,,
,8235430898,,,,,,,,-1.28721,36.74785,,,,operational,,,,,
