well_id,original_id,name,country,admin_1,admin_2,admin_3,admin_4,locality,latitude,longitude,elevation,yield,well_depth,operation_status,drilling_end_date,source_1,source_2,source_3,last_update,first_struck_level,second_struck_level,third_struck_level,fourth_struck_level,fifth_struck_level,water_rest_level,ec,ph,temperature
,,,Kenya,Marsabit,,,,Ndikirr/Malgis,1.6857875259483617,37.686344413794814,567,,,Not Operational,,,,,8/28/2014,,,,,,,,,
,,,Kenya,Marsabit,,,,Ndikirr/Malgis,1.689672836609703,37.69382004618462,569,2,,Operational,,,,,,,,,,,,3886,6.54,34.8
,,,Kenya,Marsabit,,,,Ndikirr/Malgis,1.6975033919666072,37.69043519675345,552,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Ndikirr/Malgis,1.6979867976667231,37.696358174019466,558,,,Dry,,,,,8/28/2014,,,,,,,,,
,,,Kenya,Marsabit,,,,Til/Illaut,1.903759443,37.19915703370322,785,,,Unknown,,,,,8/27/2014,,,,,,,,,
,,,Kenya,Marsabit,,,,Farakoren/ Illaut,1.936593578597137,37.20764271828427,761,,,Broken Down,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Farakoren/ Illaut,1.949040484575848,37.219924529990415,743,2,,Operational,,,,,,,,,,,,1579,2.13,33.8
,,,Kenya,Marsabit,,,,Illaut Valley,1.8695321937912444,37.24298661731852,763,,,Broken Down,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Illaut Valley,1.868791188679897,37.243499627545006,754,,,Broken Down,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Illaut Valley,1.868783881204028,37.24522518827784,754,,,Broken Down,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Kilambunyo/ Ngurnt,1.7423614778195269,37.30209795,757,,,Locked,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Salato/Ngurnt,1.7419630062164293,37.29152973,770,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Next/KARI/ Ngurnt,1.736479524631342,37.28789500348662,793,,,Unknown,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Salato/Ngurnt,1.742193229645782,37.29607688293099,759,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Salato Pry/Ngurnt,1.7403482365951348,37.29588082910848,761,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Ngurnt Dispensary,1.743713309467704,37.30694069459587,748,,,Abandoned,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Leimatanga/ Ngurnt,1.7374788605329812,37.312940534948375,745,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Likirisha/ Ngurnt,1.746953957613996,37.320454221841736,735,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Ngurnt off Catholic,1.7489341848694344,37.320164876919385,735,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,"Ngurnt
Catholic church",1.7467321741491946,37.31518803462746,736,2,,Operational,,,,,,,,,,,,1837,8.85,28.7
,,,Kenya,Marsabit,,,,Ngurnt Pry Sch.,1.7454649947908358,37.31394895966961,737,2,,Operational,,,,,8/27/2014,,,,,,,1285,7.19,30
,,,Kenya,Marsabit,,,,Ngurnt Town,1.7430738137099997,37.30979013,742,4,,Operational,,,,,8/26/2014,,,,,,,1673,2.18,33.2
,,,Kenya,Marsabit,,,,Lebendela/ Ngurnt,1.7997549256881236,37.35666159765996,659,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Lebendela/ Ngurnt,1.812076868272282,37.361836319306775,648,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Lebendela/ Ngurnt,1.8106366781844216,37.35933908567687,649,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Namare Dispensary,1.8373262013862428,37.45241097119474,589,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Namare,1.849172712807324,37.46160457805988,578,2,,Operational,,,,,,,,,,,,2014,2.97,35.1
,,,Kenya,Marsabit,,,,Lekochula/ Ngurnt,1.8146593471438324,37.50246676521893,572,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Lokwas/ Malgis,1.7471413403534082,37.60277360667783,550,,,River Valley,,,,,,,,,,,,1113,3.4,33.2
,,,Kenya,Marsabit,,,,Lengima/ Namare,1.7491330921030794,37.593343507501054,562,10,,Operational,,,,,8/26/2014,,,,,,,6020,7.34,33.6
,,,Kenya,Marsabit,,,,Dispai/Korr,1.977827337485413,37.496043184871816,548,2,,Operational,,,,,,,,,,,,3431,3.54,33.7
,,,Kenya,Marsabit,,,,Lengumo/Korr,1.9883084541737404,38.09979058,578,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Tirimo Sec Sch/ Korr,2.0002788550742383,37.48097518343258,578,2,,Operational,,,,,,,,,,,,1784,4.11,36.6
,,,Kenya,Marsabit,,,,Nahagan/Korr,2.0038698978577085,37.47191993641735,585,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,AIC/Korr,2.0082860787241814,37.49420872867333,553,,,Laga,,,,,,,,,,,,1954,5.03,31.4
,,,Kenya,Marsabit,,,,AIC/Korr,2.008069587718218,37.494820186737165,555,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,AIC Church/ Korr,2.0120491740138844,37.495032280572616,553,,,Operational,,,,,,,,,,,,2408,2.39,31.2
,,,Kenya,Marsabit,,,,Nasibara/Korr,2.051611905370786,37.46139369154411,560,,,Laga,,,,,,,,,,,,5300,7.19,32.5
,,,Kenya,Marsabit,,,,Worro/Korr,2.033836633715425,37.45726663,573,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Sonyiro/Korr,2.076184143600704,37.48926421803038,520,5,,Operational,,,,,,,,,,,,,7.7,31.2
,,,Kenya,Marsabit,,,,Ngubure/Korr,2.026128217838414,37.49228660707205,559,,,Operational,,,,,,,,,,,,2365,2.79,34.7
,C9656,,Kenya,Marsabit,,,,Harisirwa/Korr,2.012605443739968,37.49997580447933,551,,,Vandalised,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Kalaware/Korr,2.0151946549421784,37.50278705048949,547,,,Operational,,,,,,,,,,,,1960,3.67,30.3
,,,Kenya,Marsabit,,,,Korr Laga,2.0149053686655947,37.50292215255239,548,,,Dry,,,,,,,,,,,,,,
,C4071,,Kenya,Marsabit,,,,Catholic Church /Korr,2.0164040081061114,37.50981550743418,542,,,Operational,,,,,,,,,,,,2334,5.4,29.1
,,,Kenya,Marsabit,,,,Catholic Church /Korr,2.0125637884875403,37.51366638019027,555,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Catholic Church /Korr,2.0136945694688104,37.51395301097359,535,2.5,,Operational,,,,,,,,,,,,4550,7.82,28.3
,,,Kenya,Marsabit,,,,Catholic Church /Korr,2.0146167745977617,37.51362856292632,534,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Hau/Korr,2.023101274308022,37.52466870291919,577,,,Dry,,,,,8/26/2014,,,,,,,,,
,,,Kenya,Marsabit,,,,Uru/Korr,2.0382883233737186,37.54647232104369,496,,,Dry,,,,,8/25/2014,,,,,,,,,
,C10006,,Kenya,Marsabit,,,,Halusulwa/ Korr,1.954563622582392,37.57585932323592,498,,,Dry,,,,,8/24/2014,,,,,,,,,
,C4540,,Kenya,Marsabit,,,,Soliadi/ Logologo,1.8354653432780808,38.06406236163063,422,,,Operational,,,,,,,,,,,,3350,6.3,34.1
,,,Kenya,Marsabit,,,,Gudas/ Logologo,1.9781079784974345,38.041777931068765,425,2,,Operational,,,,,8/24/2014,,,,,,,1420,8,31.1
,,,Kenya,Marsabit,,,,Kamboe/ Logologo,2.0097193311915724,37.90631336696287,541,2,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Kamboe/ Logologo,2.089447476021851,37.89450799,?,,,Operational,,,,,,,,,,,,553,2.78,32.1
,,,Kenya,Marsabit,,,,Kamboe/ Logologo,2.058885189,37.911144313570816,609,10,,Operational,,,,,,,,,,,,826,3.9,32.1
,C3681,,Kenya,Marsabit,,,,"Sanjiri
/Logologo",1.993131151956197,37.92199485272043,471,6,,Operational,,,,,,,,,,,,1172,5.25,29.8
,C3682,,Kenya,Marsabit,,,,Listima/ Logologo,1.988141643,37.91382571712202,462,10,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,"Catholic
/Logologo",1.9864496814758168,37.91316152641082,461,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Catholic/ Logologo,1.984531534008456,37.91242556022387,459,,,Not Operational,,,,,,,,,,,,,,
,C1758,,Kenya,Marsabit,,,,Logologo Town,1.984440322781634,37.91128382940685,458,10,,Operational,,,,,,,,,,,,774,6.92,32.2
,,,Kenya,Marsabit,,,,Km 62/Malgis,1.920815008603876,37.899125186700175,470,1.8,,Operational,,,,,,,,,,,,2040,3.1,33.8
,,,Kenya,Marsabit,,,,Km 54/Malgis,1.839309667293372,37.86246262208215,490,2,,Operational,,,,,,,,,,,,1190,3.12,32.6
,,,Kenya,Marsabit,,,,Sekererua/ Laisamis,1.6972501779444795,37.83077358895465,562,,,Dry,,,,,,,,,,,,,,
,C10788,,Kenya,Marsabit,,,,Sakandara/ Laisamis,1.6468507137116888,37.81753634,558,,,Operational,,,,,8/23/2014,,,,,,,,6.5,33.3
,,,Kenya,Marsabit,,,,Barrier Point/Laisamis,1.5891055475859526,37.802038115812906,525,,,Dry,,,,,8/22/2014,,,,,,,,,
,,,Kenya,Marsabit,,,,Selapani/ Laisamis,1.6537298062580486,37.75170098738139,536,,,Operational,,,,,8/18/2014,,,,,,,,,
